id	chr_name	start	end	chromosome_id	tag_count_100um_k99a	id_100um_k99a	tag_count_no_peptide	id_no_peptide	tag_count_10um_k99a	id_10um_k99a	tag_count_0_1um_pcc	id_0_1um_pcc	tag_count_10um_pcc	id_10um_pcc
2	chr11	118220205	118247947	13	1294.5	2	792.6	47.0	1499.5	4.0	774.3	49.0	639.5	26.0
9	chr11	117324316	117342444	13	791.8	9	729.2	61.0	677.4	71.0	898.4	26.0	323.5	253.0
10	chr2	93447641	93461473	2	747.7	10	639.9	87.0	735.8	54.0	908.3	23.0	761.9	13.0
11	chr4	63396610	63410130	5	733.0	11	857.7	36.0	973.5	17.0	1007.7	13.0	732.5	15.0
12	chr1	91052972	91066250	1	722.8	12	1009.5	16.0	936.1	20.0	1007.1	14.0	813.3	11.0
13	chr9	109049891	109061181	12	704.7	13	1081.3	11.0	985.8	14.0	1001.5	15.0	814.5	10.0
14	chr11	98938620	98951000	13	701.3	14	820.1	41.0	1053.8	12.0	941.0	19.0	715.7	16.0
16	chr15	6578096	6592250	16	689.4	16	1162.2	7.0	1060.6	11.0	970.0	17.0	667.8	21.0
18	chr2	26489285	26503471	2	664.0	18	438.0	258.0	777.8	44.0	910.1	22.0	740.0	14.0
21	chr3	101275007	101288861	4	617.6	21	666.6	76.0	817.0	36.0	797.1	45.0	670.1	20.0
23	chr2	34951332	34963596	2	608.0	23	695.8	68.0	863.6	27.0	936.1	20.0	712.8	17.0
24	chr12	112852017	112863009	15	603.4	24	803.5	45.0	697.1	65.0	989.8	16.0	801.8	12.0
25	chr11	52272044	52282040	13	600.6	25	965.3	18.0	1457.1	5.0	1441.1	4.0	594.4	35.0
26	chr1	136132208	136143720	1	593.3	26	876.0	34.0	802.4	38.0	800.2	43.0	613.5	31.0
27	chr7	125551938	125562310	8	588.7	27	837.7	39.0	785.6	42.0	842.8	34.0	656.2	23.0
28	chr9	44976947	44986595	12	588.7	28	932.8	23.0	819.3	35.0	807.6	41.0	575.9	45.0
31	chr2	32535761	32544577	2	575.2	31	923.6	26.0	751.8	49.0	807.0	42.0	566.1	51.0
32	chr5	124018903	124031579	6	561.6	32	1485.9	4.0	1078.0	10.0	866.3	31.0	410.7	137.0
33	chr15	80571539	80584615	16	559.9	33	752.6	51.0	626.8	85.0	766.3	52.0	392.2	151.0
34	chr6	125229438	125240226	7	558.8	34	826.0	40.0	702.1	62.0	730.4	62.0	540.7	57.0
35	chr5	139377087	139390033	6	553.1	35	740.0	55.0	729.0	57.0	734.8	61.0	574.2	46.0
36	chr4	130912791	130923665	5	542.9	36	916.9	27.0	779.6	43.0	811.3	40.0	584.0	41.0
37	chr1	165700113	165710521	1	541.2	37	656.6	80.0	742.2	51.0	722.4	64.0	545.3	56.0
38	chr11	103171431	103179683	13	540.7	38	769.3	49.0	716.2	58.0	704.5	69.0	530.9	61.0
40	chr10	80691956	80701680	9	531.6	40	806.0	44.0	921.1	22.0	747.1	59.0	589.2	38.0
42	chr7	125600066	125609266	8	521.4	42	713.4	64.0	651.4	75.0	726.7	63.0	533.7	58.0
