PeakID (cmd=annotatePeaks.pl enhancers_only_100um_k99a.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
19940	chr10	84896027	84896527	+	0	NA	intron (NM_001024918, intron 17 of 17)	intron (NM_001024918, intron 17 of 17)	-21336	NM_183172	237422	Mm.18936	NM_183172		Ric8b	BC051080|Ric-8|Ric-8b	resistance to inhibitors of cholinesterase 8 homolog B (C. elegans)	protein-coding
17853	chr5	110594493	110594993	+	0	NA	intron (NM_198306, intron 4 of 10)	intron (NM_198306, intron 4 of 10)	-8762	NM_001122639	231605	Mm.275748	NM_198306	ENSMUSG00000033316	Galnt9	GalNAc-T9	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9	protein-coding
16903	chr10	19192402	19192902	+	0	NA	intron (NR_038021, intron 3 of 3)	MIRc|SINE|MIR	25414	NR_038022	100504265	Mm.383417	NR_038021		Gm20139	-	predicted gene, 20139	ncRNA
19407	chr4	130687258	130687758	+	0	NA	intron (NM_001159604, intron 2 of 21)	ERVB3_1-I_MM-int|LTR|ERVK	24149	NM_001159603	80912	Mm.440206	NM_030722	ENSMUSG00000028580	Pum1	AA517475|Pumm|mKIAA0099	pumilio RNA-binding family member 1	protein-coding
19412	chr4	137188939	137189439	+	0	NA	Intergenic	Intergenic	-24123	NR_040443	100503595	Mm.421314	NR_040443	ENSMUSG00000085833	Gm13003	OTTMUSG00000009822	predicted gene 13003	ncRNA
18873	chr8	77209293	77209793	+	0	NA	intron (NM_001083906, intron 6 of 8)	intron (NM_001083906, intron 6 of 8)	307035	NM_001083906	110784	Mm.324393	NM_001083906	ENSMUSG00000031618	Nr3c2	MR|Mlr	nuclear receptor subfamily 3, group C, member 2	protein-coding
18317	chr1	13342652	13343152	+	0	NA	intron (NM_001077695, intron 1 of 21)	intron (NM_001077695, intron 1 of 21)	31181	NM_001077695	17978	Mm.2537	NM_008678	ENSMUSG00000005886	Ncoa2	9530095N19|D1Ertd433e|GRIP-1|Grip1|KAT13C|SRC-2|TIF-2|TIF2|bHLHe75	nuclear receptor coactivator 2	protein-coding
17552	chr5	35877862	35878536	+	0	NA	intron (NM_001177700, intron 16 of 16)	intron (NM_001177700, intron 16 of 16)	-15120	NM_027373	70292	Mm.125167	NM_027373	ENSMUSG00000029094	Afap1	2600003E23Rik|9630044L16Rik|AI848729|Afap|mKIAA3018	actin filament associated protein 1	protein-coding
19852	chr4	47359851	47360351	+	0	NA	intron (NM_009370, intron 1 of 8)	intron (NM_009370, intron 1 of 8)	6796	NM_009370	21812	Mm.197552	NM_009370	ENSMUSG00000007613	Tgfbr1	ALK5|AU017191|Alk-5|TbetaR-I|TbetaRI	transforming growth factor, beta receptor I	protein-coding
16429	chr7	123355962	123356586	+	0	NA	intron (NM_001122643, intron 1 of 19)	intron (NM_001122643, intron 1 of 19)	13641	NM_001122641	70497	Mm.403318	NM_144529	ENSMUSG00000030766	Arhgap17	5730403H17Rik|Nadrin|Nadrin2|Rich1|Wbp15	Rho GTPase activating protein 17	protein-coding
19678	chr15	5157735	5158235	+	0	NA	intron (NM_001013367, intron 1 of 8)	Lx5|LINE|L1	14124	NM_001013367	105787	Mm.207004	NM_001013367	ENSMUSG00000050697	Prkaa1	AI194361|AI450832|AL024255|AMPKalpha1|C130083N04Rik	protein kinase, AMP-activated, alpha 1 catalytic subunit	protein-coding
19192	chr12	26086828	26087328	+	0	NA	Intergenic	Intergenic	-124189	NR_046278	74930	Mm.398932	NR_046278		4930480M12Rik	-	RIKEN cDNA 4930480M12 gene	ncRNA
20188	chr19	44316436	44316936	+	0	NA	Intergenic	Intergenic	13515	NR_039574	100628619		NR_039574		Mir5114	mmu-mir-5114|mu-mir-5114	microRNA 5114	ncRNA
18744	chrX	157484451	157484951	+	0	NA	intron (NM_009214, intron 1 of 10)	intron (NM_009214, intron 1 of 10)	7345	NM_009214	20603	Mm.18652	NM_009214	ENSMUSG00000071708	Sms	AI427066|Gy|SPMSY|SpmST|gyro	spermine synthase	protein-coding
19655	chr14	20731221	20731721	+	0	NA	intron (NM_010811, intron 2 of 14)	intron (NM_010811, intron 2 of 14)	3091	NM_010811	17423	Mm.4084	NM_010811	ENSMUSG00000039308	Ndst2	Mndns|NDST-2	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2	protein-coding
19445	chr5	143521863	143522363	+	0	NA	intron (NM_009007, intron 1 of 5)	B3A|SINE|B2	5880	NM_009007	19353	Mm.292510	NM_009007	ENSMUSG00000001847	Rac1	AL023026|D5Ertd559e	RAS-related C3 botulinum substrate 1	protein-coding
19526	chr8	116314373	116314873	+	0	NA	Intergenic	MER58B|DNA|hAT-Charlie	-190392	NM_029297	75465	Mm.23114	NM_029297	ENSMUSG00000034467	Dynlrb2	1700009A04Rik|DNLC2B|Dncl2b	dynein light chain roadblock-type 2	protein-coding
19514	chr8	60979169	60979669	+	0	NA	intron (NM_173874, intron 1 of 13)	intron (NM_173874, intron 1 of 13)	3892	NM_007711	12725	Mm.25263	NM_007711	ENSMUSG00000004319	Clcn3	Clc3	chloride channel 3	protein-coding
19946	chr11	51107009	51107509	+	0	NA	Intergenic	Intergenic	22172	NR_045865	619293	Mm.387061	NM_001033798	ENSMUSG00000072982	9230009I02Rik	-	RIKEN cDNA 9230009I02 gene	ncRNA
20043	chrX	104375775	104376275	+	0	NA	intron (NM_009592, intron 1 of 15)	Tigger7|DNA|TcMar-Tigger	37821	NM_009592	11306	Mm.426128	NM_009592	ENSMUSG00000031333	Abcb7	AA517758|AU019072|Abc7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	protein-coding
17331	chr1	94047052	94047906	+	0	NA	intron (NM_008798, intron 1 of 4)	intron (NM_008798, intron 1 of 4)	5074	NM_008798	18566	Mm.5024	NM_008798	ENSMUSG00000026285	Pdcd1	Ly101|PD-1|Pdc1	programmed cell death 1	protein-coding
18729	chr17	33923259	33923925	+	0	NA	intron (NM_001025313, intron 3 of 7)	B2_Mm2|SINE|B2	4114	NM_001025313	21356	Mm.154457	NM_009318	ENSMUSG00000024308	Tapbp	D17Wsu91e|TPN	TAP binding protein	protein-coding
17521	chr1	80667905	80668405	+	0	NA	intron (NM_175291, intron 1 of 55)	Lx8b|LINE|L1	-2803	NM_001285927	210293	Mm.133473	NM_175291	ENSMUSG00000038608	Dock10	9330153B10Rik|A630054M16Rik|Jr4|Jr5|R75174|ZIZ3|Zizimin3|mKIAA0694	dedicator of cytokinesis 10	protein-coding
19348	chr2	103965549	103966049	+	0	NA	intron (NM_001142337, intron 1 of 3)	intron (NM_001142337, intron 1 of 3)	-3758	NM_001142336	16909	Mm.29266	NM_008505	ENSMUSG00000032698	Lmo2	Rbtn-2|Rbtn2|Rhom-2|Ttg2	LIM domain only 2	protein-coding
18812	chr4	135266425	135267061	+	0	NA	intron (NM_013885, intron 1 of 5)	intron (NM_013885, intron 1 of 5)	6017	NM_013885	29876	Mm.257765	NM_013885	ENSMUSG00000037242	Clic4	D0Jmb3|TU-74|mc3s5|mtCLIC	chloride intracellular channel 4 (mitochondrial)	protein-coding
16872	chr2	127137220	127137720	+	0	NA	Intergenic	Intergenic	-3516	NM_144818	215387	Mm.29786	NM_144818	ENSMUSG00000034906	Ncaph	A730011O11Rik|Brrn1|HCAP-H|mKIAA0074	non-SMC condensin I complex, subunit H	protein-coding
19604	chr11	119924804	119925304	+	0	NA	Intergenic	Intergenic	11244	NM_001085498	208092	Mm.306673	NM_001085498	ENSMUSG00000025371	Chmp6	2400004G01Rik	charged multivesicular body protein 6	protein-coding
